First Fit Algorithm
A loaded, #processes=1, #holes=1, per_memusage=13.281250, cumulative per_memusage=13.281250
B loaded, #processes=2, #holes=1, per_memusage=19.531250, cumulative per_memusage=16.406250
C loaded, #processes=3, #holes=1, per_memusage=86.718750, cumulative per_memusage=39.843750
D loaded, #processes=4, #holes=1, per_memusage=99.218750, cumulative per_memusage=54.687500
E loaded, #processes=2, #holes=2, per_memusage=91.406250, cumulative per_memusage=62.031250
F loaded, #processes=3, #holes=2, per_memusage=94.531250, cumulative per_memusage=67.447917
G loaded, #processes=2, #holes=2, per_memusage=63.281250, cumulative per_memusage=66.852679
H loaded, #processes=3, #holes=2, per_memusage=75.781250, cumulative per_memusage=67.968750
I loaded, #processes=4, #holes=2, per_memusage=80.468750, cumulative per_memusage=69.357639
A loaded, #processes=5, #holes=2, per_memusage=93.750000, cumulative per_memusage=71.796875
B loaded, #processes=4, #holes=3, per_memusage=36.718750, cumulative per_memusage=68.607955
C loaded, #processes=3, #holes=2, per_memusage=86.718750, cumulative per_memusage=70.117188
D loaded, #processes=3, #holes=1, per_memusage=85.937500, cumulative per_memusage=71.334135
E loaded, #processes=1, #holes=1, per_memusage=78.906250, cumulative per_memusage=71.875000
F loaded, #processes=2, #holes=1, per_memusage=82.031250, cumulative per_memusage=72.552083
G loaded, #processes=2, #holes=2, per_memusage=63.281250, cumulative per_memusage=71.972656
H loaded, #processes=3, #holes=2, per_memusage=75.781250, cumulative per_memusage=72.196691
I loaded, #processes=4, #holes=2, per_memusage=80.468750, cumulative per_memusage=72.656250
A loaded, #processes=5, #holes=2, per_memusage=93.750000, cumulative per_memusage=73.766447
B loaded, #processes=4, #holes=3, per_memusage=36.718750, cumulative per_memusage=71.914062
C loaded, #processes=3, #holes=2, per_memusage=86.718750, cumulative per_memusage=72.619048
D loaded, #processes=3, #holes=1, per_memusage=85.937500, cumulative per_memusage=73.224432
E loaded, #processes=1, #holes=1, per_memusage=78.906250, cumulative per_memusage=73.471467
F loaded, #processes=2, #holes=1, per_memusage=82.031250, cumulative per_memusage=73.828125
G loaded, #processes=2, #holes=2, per_memusage=63.281250, cumulative per_memusage=73.406250
H loaded, #processes=3, #holes=2, per_memusage=75.781250, cumulative per_memusage=73.497596
I loaded, #processes=4, #holes=2, per_memusage=80.468750, cumulative per_memusage=73.755787
Total loads = 27, avg procs = 2.888889, avg holes = 1.703704, cumulative per_memusage=73.755787


Best Fit Algorithm
A loaded, #processes=1, #holes=1, per_memusage=13.281250, cumulative per_memusage=13.281250
